time,lon,lat,prcptot
1,33.62500318326056,-16.125001134350896,221.80943
2,33.62500318326056,-16.125001134350896,178.41922
3,33.62500318326056,-16.125001134350896,86.386375
4,33.62500318326056,-16.125001134350896,9.721374
5,33.62500318326056,-16.125001134350896,4.526457
6,33.62500318326056,-16.125001134350896,3.3560395
7,33.62500318326056,-16.125001134350896,4.5561852
8,33.62500318326056,-16.125001134350896,2.2439945
9,33.62500318326056,-16.125001134350896,2.4156082
10,33.62500318326056,-16.125001134350896,11.889262
11,33.62500318326056,-16.125001134350896,58.776257
12,33.62500318326056,-16.125001134350896,140.59587
