time,lon,lat,prcptot
1981-01-31,33.62500318326056,-16.125001134350896,137.20004
1981-02-28,33.62500318326056,-16.125001134350896,230.96182
1981-03-31,33.62500318326056,-16.125001134350896,49.341755
1981-04-30,33.62500318326056,-16.125001134350896,24.424171
1981-05-31,33.62500318326056,-16.125001134350896,7.917146
1981-06-30,33.62500318326056,-16.125001134350896,2.6289523
1981-07-31,33.62500318326056,-16.125001134350896,6.602696
1981-08-31,33.62500318326056,-16.125001134350896,2.780203
1981-09-30,33.62500318326056,-16.125001134350896,1.3683438
1981-10-31,33.62500318326056,-16.125001134350896,8.274309
1981-11-30,33.62500318326056,-16.125001134350896,40.487156
1981-12-31,33.62500318326056,-16.125001134350896,122.11098
1982-01-31,33.62500318326056,-16.125001134350896,174.53273
1982-02-28,33.62500318326056,-16.125001134350896,297.87967
1982-03-31,33.62500318326056,-16.125001134350896,25.55434
1982-04-30,33.62500318326056,-16.125001134350896,26.347946
1982-05-31,33.62500318326056,-16.125001134350896,5.681538
1982-06-30,33.62500318326056,-16.125001134350896,2.3392828
1982-07-31,33.62500318326056,-16.125001134350896,6.28819
1982-08-31,33.62500318326056,-16.125001134350896,2.9623127
1982-09-30,33.62500318326056,-16.125001134350896,1.7422245
1982-10-31,33.62500318326056,-16.125001134350896,35.241165
1982-11-30,33.62500318326056,-16.125001134350896,11.455558
1982-12-31,33.62500318326056,-16.125001134350896,87.15538
1983-01-31,33.62500318326056,-16.125001134350896,65.3872
1983-02-28,33.62500318326056,-16.125001134350896,131.42117
1983-03-31,33.62500318326056,-16.125001134350896,80.32278
1983-04-30,33.62500318326056,-16.125001134350896,8.228452
1983-05-31,33.62500318326056,-16.125001134350896,2.7973082
1983-06-30,33.62500318326056,-16.125001134350896,2.6098952
1983-07-31,33.62500318326056,-16.125001134350896,9.704717
1983-08-31,33.62500318326056,-16.125001134350896,1.973656
1983-09-30,33.62500318326056,-16.125001134350896,1.3117409
1983-10-31,33.62500318326056,-16.125001134350896,4.3928485
1983-11-30,33.62500318326056,-16.125001134350896,25.067015
1983-12-31,33.62500318326056,-16.125001134350896,153.78938
1984-01-31,33.62500318326056,-16.125001134350896,54.84169
1984-02-29,33.62500318326056,-16.125001134350896,299.05103
1984-03-31,33.62500318326056,-16.125001134350896,140.79346
1984-04-30,33.62500318326056,-16.125001134350896,3.9244328
1984-05-31,33.62500318326056,-16.125001134350896,5.129487
1984-06-30,33.62500318326056,-16.125001134350896,3.5658095
1984-07-31,33.62500318326056,-16.125001134350896,2.4423592
1984-08-31,33.62500318326056,-16.125001134350896,2.7687593
1984-09-30,33.62500318326056,-16.125001134350896,1.5439551
1984-10-31,33.62500318326056,-16.125001134350896,4.2070417
1984-11-30,33.62500318326056,-16.125001134350896,39.56327
1984-12-31,33.62500318326056,-16.125001134350896,146.6162
1985-01-31,33.62500318326056,-16.125001134350896,182.52287
